hub_id,lat,lon
0,32.909492666666665,-96.750651
1,32.8833035,-96.76129399999999
2,32.832294000000005,-96.767945
3,32.829952000000006,-96.7679445
4,32.8270155,-96.767946
5,32.8250825,-96.7679495
6,32.82194775,-96.7679885
7,32.8186465,-96.76800349999999
8,32.816028,-96.76803050000001
9,32.81243166666667,-96.76856566666667
10,32.79414375,-96.78273175
11,32.790320666666666,-96.78728344444444
12,32.7965005,-96.779965
13,32.8346995,-96.767933
14,32.852885,-96.769372
15,32.8427775,-96.7707561
16,32.85691,-96.768501
17,32.76338006666666,-96.77532479999999
18,32.764618,-96.7806475
19,32.7708955,-96.7883975
20,32.78147269672131,-96.80037892622951
21,32.774451,-96.7914595
22,32.81435423076923,-96.75324238461539
23,32.809877,-96.752846
24,32.801027625,-96.7570085
25,32.797354000000006,-96.76090033333332
26,32.794717500000004,-96.76417375
27,32.7921125,-96.76712725
28,32.789168857142855,-96.77020514285714
29,32.7851977,-96.7789178
30,32.78989606896552,-96.78003755172415
31,32.783888,-96.78656785714286
32,32.805169500000005,-96.755577
33,32.807588499999994,-96.7538
34,32.740103000000005,-96.83224422222222
35,32.747259666666665,-96.832004
36,32.720279166666664,-96.83626566666668
37,32.72503088888889,-96.83676322222223
38,32.730470499999996,-96.83684199999999
39,32.741428806451616,-96.83822138709678
40,32.753526199999996,-96.83744279999999
41,32.75859883333333,-96.83653166666666
42,32.764156,-96.8357135
43,32.76847228571428,-96.83583442857143
44,32.774319,-96.82561666666668
45,32.776594,-96.814633
46,32.877749625,-96.757166625
47,32.8739485,-96.75681
48,32.87017120689655,-96.75711662068964
49,32.86661175,-96.752961
50,32.86483583333333,-96.75413366666666
51,32.860338,-96.764813
52,32.750982,-96.7593976
53,32.81457520833333,-96.80872420833333
54,32.8033,-96.81335225000001
55,32.801017,-96.8107985
56,32.810118,-96.80986686666667
57,32.86554700000001,-96.8079915
58,32.7702258,-96.76628886666667
59,32.777368333333335,-96.76555933333333
60,32.791687499999995,-96.770907
61,32.79778,-96.777999
62,32.80402064285714,-96.77912992857144
63,32.811196,-96.798629
64,32.8149231,-96.8022136
65,32.81098125,-96.8220755
66,32.8147845,-96.82936900000001
67,32.8117895,-96.83357075
68,32.80626877777778,-96.79756618518519
69,32.802156,-96.786458
70,32.799957,-96.78386733333333
71,32.791248,-96.773865
72,32.784438578947366,-96.76499363157895
73,32.74610841176471,-96.85699311764705
74,32.746475,-96.851609
75,32.744209,-96.84394850000001
76,32.7421655,-96.82835475
77,32.7439504,-96.8235362
78,32.7453655,-96.8192115
79,32.74759400000001,-96.8148942
80,32.7582746,-96.8153894
81,32.731759458333336,-96.85711170833333
82,32.71827760714286,-96.85685328571428
83,32.720344999999995,-96.8624555
84,32.7645759,-96.73823495
85,32.761040875,-96.7460373125
86,32.765699,-96.75000349999999
87,32.7698453,-96.7549114
88,32.836454,-96.75451066666666
89,32.836479600000004,-96.759645
90,32.836532000000005,-96.76557600000001
91,32.837173500000006,-96.7741985
92,32.82555214285714,-96.82146535714286
93,32.82216125,-96.85458249999999
94,32.7719315,-96.74547849999999
95,32.77474775,-96.74166149999999
96,32.775214,-96.738219125
97,32.7689985,-96.73880650000001
98,32.774232500000004,-96.74929475
99,32.7763785,-96.7519075
100,32.7739755,-96.755234
101,32.784832333333334,-96.77538583333335
102,32.694410500000004,-96.80327700000001
103,32.699036125,-96.804714875
104,32.7353085,-96.81144900000001
105,32.7399805,-96.81237183333333
106,32.744961,-96.81561400000001
107,32.733191500000004,-96.8116165
108,32.6834125,-96.8004345
109,32.6824955,-96.80413875
110,32.70026858333333,-96.85704416666665
111,32.780735271739125,-96.8455515
112,32.7931475,-96.724633
113,32.792882,-96.73459414285715
114,32.7903855,-96.73736149999999
115,32.8069436,-96.6850365
116,32.801116875,-96.68872512499999
117,32.798927,-96.69259525
118,32.7959637,-96.70739090000001
119,32.79329414285714,-96.714615
120,32.78222466666667,-96.682721
121,32.785458999999996,-96.69089042857142
122,32.78606725,-96.7004595
123,32.786698333333334,-96.7067735
124,32.786552,-96.71023199999999
125,32.786432500000004,-96.7125575
126,32.78470166666667,-96.68417666666666
127,32.8102345,-96.757135
128,32.8045238125,-96.764037125
129,32.798210499999996,-96.7716565
130,32.796848,-96.7733005
131,32.83274025,-96.7529155
132,32.8292665,-96.752877
133,32.825991333333334,-96.75288866666666
134,32.821022,-96.7528655
135,32.79433713636364,-96.8028971818182
136,32.844499,-96.7869685
137,32.701609,-96.82199228571429
138,32.709449400000004,-96.82341133333333
139,32.719327199999995,-96.82155259999999
140,32.749274375,-96.823658125
141,32.75321471428571,-96.82338085714287
142,32.75869372727273,-96.82228436363636
143,32.763906,-96.8228915
