Hub Name,From Route,To Route,Bad Connections (1-5 min)
PEARL @ ROSS - S - NS,BLUE,018,2303
PEARL @ ROSS - S - NS,BLUE,230,2303
PEARL @ ROSS - S - NS,106,GREEN,2297
PEARL @ ROSS - S - NS,BLUE,205,2296
PEARL @ ROSS - S - NS,013,224,2291
PEARL @ ROSS - S - NS,RED,GREEN,2290
PEARL @ ROSS - S - NS,RED,106,2288
PEARL @ ROSS - S - NS,009,230,2281
PEARL @ ROSS - S - NS,009,224,2248
PEARL @ ROSS - S - NS,009,145,2238
PEARL @ ROSS - S - NS,GREEN,RED,2237
PEARL @ ROSS - S - NS,009,237,2235
PEARL @ ROSS - S - NS,106,018,2233
PEARL @ ROSS - S - NS,009,214,2231
PEARL @ ROSS - S - NS,013,205,2218
PEARL @ ROSS - S - NS,009,205,2215
PEARL @ ROSS - S - NS,106,009,2212
PEARL @ ROSS - S - NS,BLUE,425,2212
PEARL @ ROSS - S - NS,GREEN,018,2210
HAMPTON @ SINGLETON - N - MB,128,106,2209
HAMPTON @ SINGLETON - N - MB,106,102,2207
PEARL @ ROSS - S - NS,RED,425,2182
PEARL @ ROSS - S - NS,ORANGE,147,2178
PEARL @ ROSS - S - NS,GREEN,128,2172
PEARL @ ROSS - S - NS,ORANGE,013,2139
MAPLE @ CLARA - S - NS,001,023,2135
PEARL @ ROSS - S - NS,013,106,2125
PEARL @ ROSS - S - NS,GREEN,205,2123
PEARL @ ROSS - S - NS,BLUE,207,2121
PEARL @ ROSS - S - NS,GREEN,147,2111
PEARL @ ROSS - S - NS,GREEN,102,2103
PEARL @ ROSS - S - NS,ORANGE,128,2102
PEARL @ ROSS - S - NS,106,128,2095
PEARL @ ROSS - S - NS,003,103,2092
PEARL @ ROSS - S - NS,106,205,2088
PEARL @ ROSS - S - NS,ORANGE,016,2088
PEARL @ ROSS - S - NS,128,214,2071
PEARL @ ROSS - S - NS,128,147,2071
PEARL @ ROSS - S - NS,145,147,2055
GASTON @ LIBERTY - N - NS,009,023,2051
PEARL @ ROSS - S - NS,GREEN,001,2039
PEARL @ ROSS - S - NS,GREEN,016,2027
PEARL @ ROSS - S - NS,147,ORANGE,2024
PEARL @ ROSS - S - NS,128,145,2020
PEARL @ ROSS - S - NS,ORANGE,018,2019
PEARL @ ROSS - S - NS,106,214,2016
PEARL @ ROSS - S - NS,128,205,2009
SKILLMAN @ EASTRIDGE - S - NS,027,017,2000
PEARL @ ROSS - S - NS,106,230,1996
PEARL @ ROSS - S - NS,145,003,1995
PEARL @ ROSS - S - NS,128,224,1990
PEARL @ ROSS - S - NS,128,109,1984
PEARL @ ROSS - S - NS,ORANGE,001,1983
PEARL @ ROSS - S - NS,GREEN,109,1980
PEARL @ ROSS - S - NS,106,224,1976
PEARL @ ROSS - S - NS,003,308,1974
PEARL @ ROSS - S - NS,ORANGE,BLUE,1972
PEARL @ ROSS - S - NS,147,RED,1966
PEARL @ ROSS - S - NS,106,237,1966
PEARL @ ROSS - S - NS,106,145,1964
PEARL @ ROSS - S - NS,GREEN,230,1957
PEARL @ ROSS - S - NS,ORANGE,109,1955
PEARL @ ROSS - S - NS,GREEN,003,1955
PEARL @ ROSS - S - NS,ORANGE,106,1952
PEARL @ ROSS - S - NS,145,RED,1949
PEARL @ ROSS - S - NS,009,425,1937
PEARL @ ROSS - S - NS,147,BLUE,1936
PEARL @ ROSS - S - NS,003,620,1932
PEARL @ ROSS - S - NS,GREEN,145,1932
