Hub Name,From Route,To Route,Bad Connections (1-5 min)
JEFFERSON @ POLK - E - NS,147,009,885
STONEWALL @ BUTE - W - NS,214,023,884
PEARL @ ROSS - S - NS,001,102,879
PEARL @ ROSS - S - NS,224,109,874
PEARL @ ROSS - S - NS,018,249,873
PEARL @ ROSS - S - NS,ORANGE,239,873
PEARL @ ROSS - S - NS,106,TRE,870
PEARL @ ROSS - S - NS,145,TRE,867
PEARL @ ROSS - S - NS,224,147,861
HAMPTON STATION,101,RED,860
PEARL @ ROSS - S - NS,224,214,857
PEARL @ ROSS - S - NS,147,TRE,857
PEARL @ ROSS - S - NS,001,145,855
PEARL @ ROSS - S - NS,145,103,852
PEARL @ ROSS - S - NS,224,145,848
PEARL @ ROSS - S - NS,224,102,846
PEARL @ ROSS - S - NS,224,237,845
ILLINOIS @ VALERIA - W - FS,108,104,843
PEARL @ ROSS - S - NS,018,620,842
PEARL @ ROSS - S - NS,237,308,841
PEARL @ ROSS - S - NS,207,230,841
PEARL @ ROSS - S - NS,308,RED,838
PEARL @ ROSS - S - NS,308,BLUE,838
PEARL @ ROSS - S - NS,308,016,833
PEARL @ ROSS - S - NS,224,128,832
PEARL @ ROSS - S - NS,308,ORANGE,831
PEARL @ ROSS - S - NS,205,003,830
PEARL @ ROSS - S - NS,224,ORANGE,829
PEARL @ ROSS - S - NS,308,GREEN,825
PEARL @ ROSS - S - NS,205,GREEN,825
BACHMAN STATION,233,020,824
PEARL @ ROSS - S - NS,308,013,823
GASTON @ LIBERTY - N - NS,009,421,823
PEARL @ ROSS - S - NS,308,003,823
FERGUSON @ JOAQUIN - S - FS,016,018,821
BLACKBURN @ COLE - E - NS,425,BLUE,820
PEARL @ ROSS - S - NS,109,103,818
DOWNTOWN GARLAND STATION,022,BLUE,817
PEARL @ ROSS - S - NS,308,009,817
PEARL @ ROSS - S - NS,001,249,816
ILLINOIS @ DENLEY - E - NS,114,141,812
BLACKBURN @ COLE - E - NS,023,425,811
PEARL @ ROSS - S - NS,205,016,811
STONEWALL @ BUTE - W - NS,214,018,807
PEARL @ ROSS - S - NS,249,ORANGE,806
HAMPTON @ SINGLETON - N - MB,102,106,806
PEARL @ ROSS - S - NS,230,207,804
PEARL @ ROSS - S - NS,003,421,802
PEARL @ ROSS - S - NS,308,018,802
PEARL @ ROSS - S - NS,249,GREEN,801
PEARL @ ROSS - S - NS,016,308,801
PEARL @ ROSS - S - NS,224,001,800
PEARL @ ROSS - S - NS,308,237,797
CEDAR SPRINGS @ KNIGHT- S - NS,023,103,796
PEARL @ ROSS - S - NS,016,103,795
PEARL @ ROSS - S - NS,001,425,795
PEARL @ ROSS - S - NS,205,RED,795
PEARL @ ROSS - S - NS,018,239,795
WESTMORELAND STATION,104,057,794
PEARL @ ROSS - S - NS,207,308,793
JEFFERSON @ POLK - E - NS,147,RED,792
PEARL @ ROSS - S - NS,308,109,791
BLACKBURN @ COLE - E - NS,425,ORANGE,790
BLACKBURN @ COLE - E - NS,425,RED,787
PEARL @ ROSS - S - NS,205,013,781
PEARL @ ROSS - S - NS,308,214,777
DOWNTOWN GARLAND STATION,022,224,772
PEARL @ ROSS - S - NS,249,016,771
PEARL @ ROSS - S - NS,308,147,771
PEARL @ ROSS - S - NS,308,145,771
8TH & CORINTH STATION,RED,BLUE,770
PEARL @ ROSS - S - NS,249,237,768
HAMPTON @ SINGLETON - N - MB,101,102,767
PEARL @ ROSS - S - NS,001,207,766
DOWNTOWN GARLAND STATION,022,202,764
BLACKBURN @ COLE - E - NS,RED,BLUE,764
PEARL @ ROSS - S - NS,249,128,764
PEARL @ ROSS - S - NS,205,009,763
ILLINOIS @ VALERIA - W - FS,025,108,763
PEARL @ ROSS - S - NS,205,ORANGE,758
AMESBURY @ SOUTHWESTERN - S - FS,017,440,758
PEARL @ ROSS - S - NS,249,013,757
PEARL @ ROSS - S - NS,224,230,757
PEARL @ ROSS - S - NS,224,106,756
PEARL @ ROSS - S - NS,237,103,755
PEARL @ ROSS - S - NS,224,205,754
PEARL @ ROSS - S - NS,425,016,754
PEARL @ ROSS - S - NS,205,128,751
SMU/MOCKINGBIRD STATION,BLUE,ORANGE,749
WESTMORELAND STATION,108,025,749
PEARL @ ROSS - S - NS,425,ORANGE,748
HAMPTON @ SINGLETON - N - MB,102,219,747
PEARL @ ROSS - S - NS,205,BLUE,747
MALCOLM X @ MLK - S - NS,104,GREEN,746
PEARL @ ROSS - S - NS,018,103,746
SMU/MOCKINGBIRD STATION,RED,BLUE,746
PEARL @ ROSS - S - NS,239,018,746
BACHMAN STATION,ORANGE,GREEN,745
PEARL @ ROSS - S - NS,018,308,743
PEARL @ ROSS - S - NS,249,214,742
PEARL @ ROSS - S - NS,308,102,741
PEARL @ MCKINNEY - S - FS,425,103,741
KIEST @ SUNNYVALE - E - NS,114,141,741
PEARL @ ROSS - S - NS,249,009,739
PEARL @ ROSS - S - NS,239,RED,739
INWOOD/LOVE FIELD STATION,ORANGE,GREEN,738
PEARL @ ROSS - S - NS,239,016,737
PEARL @ ROSS - S - NS,224,425,737
PEARL @ ROSS - S - NS,425,GREEN,736
PEARL @ ROSS - S - NS,425,RED,736
PEARL @ ROSS - S - NS,205,224,735
PEARL @ ROSS - S - NS,214,249,734
PEARL @ ROSS - S - NS,425,102,734
COCKRELL HILL TL,025,221,734
BLACKBURN @ COLE - E - NS,425,237,733
HAMPTON @ SINGLETON - N - MB,219,101,733
PEARL @ ROSS - S - NS,425,003,732
BLACKBURN @ COLE - E - NS,BLUE,ORANGE,728
PEARL @ ROSS - S - NS,425,013,728
PEARL @ ROSS - S - NS,239,003,728
PEARL @ ROSS - S - NS,128,306,728
PEARL @ ROSS - S - NS,425,018,728
PEARL @ ROSS - S - NS,106,306,725
PEARL @ ROSS - S - NS,018,TRE,724
PEARL @ ROSS - S - NS,205,018,724
PEARL @ ROSS - S - NS,425,BLUE,724
PEARL @ ROSS - S - NS,205,237,724
WESTMORELAND STATION,057,025,722
PEARL @ ROSS - S - NS,249,003,721
PEARL @ ROSS - S - NS,214,308,719
WESTMORELAND STATION,RED,025,717
PEARL @ ROSS - S - NS,308,106,717
HAMPTON @ SINGLETON - N - MB,102,128,717
PEARL @ ROSS - S - NS,308,128,716
DOWNTOWN GARLAND STATION,022,251,715
PEARL @ ROSS - S - NS,239,GREEN,714
PEARL @ ROSS - S - NS,249,106,714
PEARL @ ROSS - S - NS,425,009,714
PEARL @ ROSS - S - NS,425,128,709
8TH & CORINTH STATION,RED,215,707
PEARL @ ROSS - S - NS,249,145,706
AMESBURY @ SOUTHWESTERN - S - FS,440,017,705
PEARL @ ROSS - S - NS,205,109,705
PEARL @ ROSS - S - NS,205,145,705
PEARL @ ROSS - S - NS,425,147,703
PEARL @ ROSS - S - NS,205,147,703
PEARL @ ROSS - S - NS,230,249,702
PEARL @ ROSS - S - NS,620,109,700
PEARL @ ROSS - S - NS,425,001,700
PEARL @ ROSS - S - NS,109,306,698
PEARL @ ROSS - S - NS,425,109,698
HAMPTON @ SINGLETON - N - MB,219,128,697
PEARL @ ROSS - S - NS,207,TRE,696
PEARL @ ROSS - S - NS,239,145,695
WESTMORELAND STATION,025,108,690
PEARL @ ROSS - S - NS,205,001,688
DOWNTOWN GARLAND STATION,022,203,688
GASTON @ LIBERTY - N - NS,GREEN,018,688
PEARL @ ROSS - S - NS,147,306,687
PEARL @ ROSS - S - NS,239,013,686
IH 635 @ PRESTON - W - MB,237,022,686
PEARL @ ROSS - S - NS,308,224,686
PEARL @ ROSS - S - NS,425,145,685
PEARL @ MCKINNEY - S - FS,001,425,685
PEARL @ ROSS - S - NS,249,BLUE,685
PEARL @ ROSS - S - NS,425,214,685
PEARL @ ROSS - S - NS,214,103,683
PEARL @ ROSS - S - NS,308,230,681
PEARL @ ROSS - S - NS,425,205,681
GASTON @ NESBITT - N - FS,009,249,680
PEARL @ ROSS - S - NS,207,239,680
BLACKBURN @ COLE - E - NS,023,RED,679
DOWNTOWN GARLAND STATION,022,250,676
PEARL @ ROSS - S - NS,239,147,676
FOREST @ KIRBY - W - FS,247,022,676
PEARL @ ROSS - S - NS,207,103,674
PEARL @ ROSS - S - NS,239,ORANGE,673
PEARL @ ROSS - S - NS,230,TRE,672
HAMPTON @ SINGLETON - N - MB,219,106,672
PEARL @ ROSS - S - NS,205,106,671
GASTON @ GOOD LATIMER - N - NS,GREEN,018,671
PEARL @ ROSS - S - NS,249,109,671
PEARL @ ROSS - S - NS,239,BLUE,670
PEARL @ ROSS - S - NS,205,214,669
PEARL @ ROSS - S - NS,230,308,669
JEFFERSON @ POLK - E - NS,219,226,667
PEARL @ ROSS - S - NS,205,102,666
PEARL @ ROSS - S - NS,249,RED,665
ROSS @ BENNETT - S - NS,003,205,664
PEARL @ ROSS - S - NS,224,207,663
ILLINOIS @ DENLEY - E - NS,114,217,663
WESTMORELAND STATION,104,108,662
PEARL @ ROSS - S - NS,237,239,662
HAMPTON @ SINGLETON - N - MB,101,219,662
PEARL @ ROSS - S - NS,249,147,661
DOWNTOWN GARLAND STATION,022,238,659
PEARL @ ROSS - S - NS,239,009,658
PEARL @ ROSS - S - NS,ORANGE,306,654
BACHMAN STATION,ORANGE,020,651
PEARL @ ROSS - S - NS,308,001,651
PEARL @ ROSS - S - NS,308,207,649
PEARL @ ROSS - S - NS,239,214,649
PEARL @ ROSS - S - NS,239,249,649
PEARL @ ROSS - S - NS,102,TRE,648
COCKRELL HILL TL,221,009,646
PEARL @ ROSS - S - NS,425,224,646
PEARL @ ROSS - S - NS,308,249,645
ELSIE FAYE HEGGINS @ LAGOW - W - NS,216,013,644
PEARL @ ROSS - S - NS,308,205,638
PEARL @ ROSS - S - NS,001,103,637
FOREST @ KIRBY - W - FS,022,247,636
PEARL @ ROSS - S - NS,239,001,636
ILLINOIS @ VALERIA - W - FS,104,025,635
PEARL @ ROSS - S - NS,016,TRE,635
SMU/MOCKINGBIRD STATION,RED,017,634
BLACKBURN @ COLE - E - NS,ORANGE,023,633
WESTMORELAND STATION,108,057,633
PEARL @ ROSS - S - NS,249,230,633
PEARL @ ROSS - S - NS,145,306,630
PEARL @ ROSS - S - NS,001,308,629
PEARL @ ROSS - S - NS,230,103,629
PEARL @ ROSS - S - NS,239,102,629
PEARL @ ROSS - S - NS,239,109,628
PEARL @ ROSS - S - NS,214,620,627
PEARL @ ROSS - S - NS,425,230,626
PEARL @ ROSS - S - NS,205,425,626
GASTON @ GOOD LATIMER - N - NS,GREEN,009,625
STONEWALL @ BUTE - W - NS,GREEN,023,624
HAMPTON @ SINGLETON - N - MB,102,101,622
BLACKBURN @ COLE - E - NS,023,207,621
PEARL @ ROSS - S - NS,249,001,620
PEARL @ ROSS - S - NS,249,205,618
PEARL @ ROSS - S - NS,207,620,618
WESTMORELAND STATION,057,108,613
PEARL @ ROSS - S - NS,205,249,610
PEARL @ ROSS - S - NS,425,106,610
WESTMORELAND STATION,025,104,610
PEARL @ ROSS - S - NS,620,128,609
PEARL @ ROSS - S - NS,239,128,607
PEARL @ ROSS - S - NS,239,237,605
PEARL @ ROSS - S - NS,249,224,604
PEARL @ ROSS - S - NS,224,620,602
HAMPTON STATION,RED,101,602
NORTHWEST @ TOWNGATE - E - FS,016,203,598
PEARL @ ROSS - S - NS,239,224,596
BACHMAN STATION,233,GREEN,596
PEARL @ ROSS - S - NS,249,425,593
DOWNTOWN IRVING/HERITAGE CROSSING STATION,230,025,589
STONEWALL @ BUTE - W - NS,023,018,588
DOWNTOWN IRVING/HERITAGE CROSSING STATION,231,230,588
PEARL @ ROSS - S - NS,BLUE,421,588
HAMPTON STATION,101,226,588
PEARL @ ROSS - S - NS,109,TRE,587
SMU/MOCKINGBIRD STATION,ORANGE,017,587
PEARL @ ROSS - S - NS,249,018,584
PEARL @ ROSS - S - NS,147,103,584
BLACKBURN @ COLE - E - NS,RED,023,583
WESTMORELAND @ INVESTOR - N - NS,057,108,582
PEARL @ ROSS - S - NS,620,147,581
PEARL @ ROSS - S - NS,205,207,579
GASTON @ GOOD LATIMER - N - NS,GREEN,001,578
PEARL @ ROSS - S - NS,016,239,578
PEARL @ ROSS - S - NS,239,205,578
PEARL @ ROSS - S - NS,103,109,578
PEARL @ ROSS - S - NS,239,620,577
PEARL @ ROSS - S - NS,102,306,576
NORTHWEST @ TOWNGATE - E - FS,016,251,576
PEARL @ ROSS - S - NS,001,620,575
PEARL @ ROSS - S - NS,249,102,568
JEFFERSON @ POLK - E - NS,RED,009,567
PEARL @ ROSS - S - NS,128,421,566
BACHMAN STATION,GREEN,020,564
PEARL @ MCKINNEY - S - FS,425,239,562
PEARL @ ROSS - S - NS,620,106,560
PEARL @ ROSS - S - NS,249,207,560
PEARL @ ROSS - S - NS,425,237,560
GASTON @ LIBERTY - N - NS,001,023,559
PEARL @ ROSS - S - NS,239,106,557
PEARL @ ROSS - S - NS,308,425,557
GASTON @ LIBERTY - N - NS,001,018,557
PEARL @ ROSS - S - NS,103,102,556
GASTON @ LIBERTY - N - NS,GREEN,009,556
STONEWALL @ BUTE - W - NS,018,023,555
WESTMORELAND STATION,108,104,555
STONEWALL @ BUTE - W - NS,GREEN,018,555
PEARL @ ROSS - S - NS,249,620,552
SMU/MOCKINGBIRD STATION,RED,205,550
PEARL @ ROSS - S - NS,425,207,549
MALCOLM X @ MLK - S - NS,GREEN,001,548
STONEWALL @ BUTE - W - NS,018,GREEN,547
BACHMAN STATION,GREEN,233,544
NORTHWEST @ TOWNGATE - E - FS,016,212,543
PEARL @ ROSS - S - NS,103,013,543
ELSIE FAYE HEGGINS @ LAGOW - W - NS,216,GREEN,541
PEARL @ ROSS - S - NS,224,308,540
BLACKBURN @ COLE - E - NS,BLUE,023,539
PEARL @ ROSS - S - NS,001,239,539
ILLINOIS @ VALERIA - W - FS,025,104,536
HARRY HINES @ BUTLER - S - NS,122,101,535
JEFFERSON @ POLK - E - NS,219,RED,534
PEARL @ ROSS - S - NS,306,RED,534
SMU/MOCKINGBIRD STATION,RED,003,533
KIEST @ SUNNYVALE - E - NS,114,215,531
PEARL @ ROSS - S - NS,224,249,531
PEARL @ ROSS - S - NS,230,620,530
PEARL @ ROSS - S - NS,306,GREEN,529
BAHAMA @ ALPACA - W - NS,102,101,529
WESTMORELAND STATION,057,RED,528
PEARL @ ROSS - S - NS,103,145,527
PEARL @ ROSS - S - NS,224,103,526
SHERMAN @ LINGCO - N - MB1,250,200,526
PEARL @ ROSS - S - NS,308,103,525
PEARL @ ROSS - S - NS,239,425,523
PEARL @ ROSS - S - NS,306,003,521
8TH & CORINTH STATION,215,BLUE,521
PEARL @ ROSS - S - NS,230,239,521
MALCOLM X @ MLK - S - NS,GREEN,013,519
GASTON @ LIBERTY - N - NS,001,009,519
PEARL @ ROSS - S - NS,106,421,519
BACHMAN STATION,233,213,518
WESTMORELAND STATION,057,104,518
INWOOD/LOVE FIELD STATION,ORANGE,103,517
PEARL @ ROSS - S - NS,237,306,516
PEARL @ ROSS - S - NS,306,BLUE,516
ILLINOIS @ DENLEY - E - NS,114,104,515
PEARL @ ROSS - S - NS,RED,421,515
SMU/MOCKINGBIRD STATION,ORANGE,440,514
DOWNTOWN PLANO STATION,247,236,514
SMU/MOCKINGBIRD STATION,ORANGE,205,514
PEARL @ ROSS - S - NS,306,ORANGE,514
PEARL @ ROSS - S - NS,306,013,512
PEARL @ ROSS - S - NS,016,620,512
BACHMAN STATION,ORANGE,233,511
PEARL @ ROSS - S - NS,205,103,510
PEARL @ ROSS - S - NS,306,016,509
PEARL @ ROSS - S - NS,214,TRE,509
JEFFERSON @ POLK - E - NS,RED,219,507
PEARL @ ROSS - S - NS,306,018,505
JEFFERSON @ POLK - E - NS,RED,147,504
PEARL @ ROSS - S - NS,207,306,503
PEARL @ ROSS - S - NS,306,109,501
FOREST @ KIRBY - W - FS,245,247,501
PEARL @ ROSS - S - NS,147,421,501
PEARL @ ROSS - S - NS,205,230,501
SMU/MOCKINGBIRD STATION,RED,440,497
HAMPTON @ CLIFF TEEN CT - N - NS,104,101,494
PEARL @ ROSS - S - NS,306,009,494
BLACKBURN @ COLE - E - NS,023,BLUE,494
PEARL @ ROSS - S - NS,306,237,494
GASTON @ LIBERTY - N - NS,GREEN,001,493
PEARL @ ROSS - S - NS,103,003,493
DOWNTOWN GARLAND STATION,BLUE,022,490
FOREST @ KIRBY - W - FS,247,245,488
MALCOLM X @ MLK - S - NS,001,013,488
WESTMORELAND STATION,RED,104,487
BLACKBURN @ COLE - E - NS,RED,425,487
SPRING VALLEY @ PRESTON VALLEY - E - MB2,237,200,487
PEARL @ ROSS - S - NS,306,145,486
DOWNTOWN IRVING/HERITAGE CROSSING STATION,230,231,484
FOREST @ KIRBY - W - FS,BLUE,022,483
PEARL @ ROSS - S - NS,620,TRE,483
WESTMORELAND STATION,025,221,482
PEARL @ ROSS - S - NS,103,205,481
PEARL @ ROSS - S - NS,306,128,480
PEARL @ ROSS - S - NS,103,018,479
WESTMORELAND STATION,RED,108,479
PEARL @ ROSS - S - NS,018,306,478
PEARL @ ROSS - S - NS,103,106,478
PEARL @ ROSS - S - NS,306,214,478
WORCOLA @ SMU - N - MB2,017,003,477
BLACKBURN @ COLE - E - NS,ORANGE,425,476
PEARL @ ROSS - S - NS,620,237,476
SMU/MOCKINGBIRD STATION,BLUE,003,476
PEARL @ ROSS - S - NS,425,249,476
PEARL @ ROSS - S - NS,306,308,475
GASTON @ NESBITT - N - FS,249,009,474
PEARL @ ROSS - S - NS,103,ORANGE,473
DOWNTOWN PLANO STATION,247,RED,473
HAMPTON STATION,226,101,472
SOUTHWEST MEDICAL DISTRICT/PARKLAND,GREEN,001,472
PARKER ROAD STATION,236,247,470
PEARL @ ROSS - S - NS,308,620,470
PEARL @ ROSS - S - NS,249,239,469
BLACKBURN @ COLE - E - NS,BLUE,425,469
BLACKBURN @ COLE - E - NS,207,023,468
FOREST @ KIRBY - W - FS,022,245,467
HASKELL @ THOLL - W - NS,018,216,466
SOUTHWEST MEDICAL DISTRICT/PARKLAND,ORANGE,001,465
PEARL @ ROSS - S - NS,239,207,464
DOWNTOWN PLANO STATION,236,247,463
PEARL @ ROSS - S - NS,620,001,462
PEARL @ ROSS - S - NS,306,102,462
PEARL @ ROSS - S - NS,306,147,460
ILLINOIS @ VALERIA - W - FS,108,223,459
PEARL @ ROSS - S - NS,103,RED,458
PEARL @ ROSS - S - NS,GREEN,421,457
MALCOLM X @ MLK - S - NS,001,023,456
PEARL @ ROSS - S - NS,425,620,455
PEARL @ ROSS - S - NS,016,306,454
MALCOLM X @ MLK - S - NS,GREEN,104,453
WESTMORELAND @ POINSETTIA - N - NS,057,226,453
PEARL @ ROSS - S - NS,308,306,453
SMU/MOCKINGBIRD STATION,ORANGE,003,448
HARRY HINES @ BUTLER - S - NS,057,101,448
PEARL @ ROSS - S - NS,214,239,447
HARRY HINES @ BUTLER - S - NS,122,057,447
PEARL @ ROSS - S - NS,308,239,446
ILLINOIS @ VALERIA - W - FS,104,108,443
GASTON @ LIBERTY - N - NS,018,001,443
PEARL @ ROSS - S - NS,205,239,442
SMU/MOCKINGBIRD STATION,BLUE,017,441
PEARL @ ROSS - S - NS,ORANGE,421,441
PEARL @ ROSS - S - NS,103,016,440
BLACKBURN @ COLE - E - NS,207,425,440
NORTHWEST @ TOWNGATE - E - FS,203,212,440
BLACKBURN @ COLE - E - NS,023,237,439
PEARL @ ROSS - S - NS,145,421,436
DOWNTOWN PLANO STATION,RED,247,435
WESTMORELAND STATION,104,221,433
PEARL @ ROSS - S - NS,103,237,432
PEARL @ ROSS - S - NS,103,230,430
PEARL @ ROSS - S - NS,306,224,429
PEARL @ ROSS - S - NS,103,GREEN,429
PEARL @ ROSS - S - NS,308,TRE,428
PEARL @ ROSS - S - NS,620,145,427
PEARL @ ROSS - S - NS,620,207,427
PEARL @ ROSS - S - NS,306,106,427
ELSIE FAYE HEGGINS @ LAGOW - W - NS,GREEN,013,427
WORCOLA @ SMU - N - MB2,440,003,426
PEARL @ MCKINNEY - S - FS,001,103,425
WESTMORELAND STATION,RED,057,424
8TH & CORINTH STATION,RED,217,424
PEARL @ ROSS - S - NS,306,207,424
FOREST @ KIRBY - W - FS,022,BLUE,423
GASTON @ LIBERTY - N - NS,018,009,423
ILLINOIS @ DENLEY - E - NS,217,114,421
PARKER ROAD STATION,RED,236,421
JEFFERSON @ POLK - E - NS,147,226,421
PEARL @ ROSS - S - NS,249,308,420
PEARL @ ROSS - S - NS,620,224,420
8TH & CORINTH STATION,215,217,420
PEARL @ ROSS - S - NS,205,308,419
HARRY HINES @ BUTLER - S - NS,101,057,417
NORTHWEST @ TOWNGATE - E - FS,212,016,416
NORTHWEST @ TOWNGATE - E - FS,203,251,414
PEARL @ ROSS - S - NS,306,249,413
PEARL @ ROSS - S - NS,013,421,412
PEARL @ ROSS - S - NS,224,239,409
PEARL @ ROSS - S - NS,620,425,406
PEARL @ ROSS - S - NS,249,103,406
PEARL @ ROSS - S - NS,103,214,405
PEARL @ ROSS - S - NS,239,308,404
FOREST @ KIRBY - W - FS,245,022,404
PEARL @ ROSS - S - NS,425,103,404
DOWNTOWN IRVING/HERITAGE CROSSING STATION,231,025,404
WESTMORELAND STATION,104,223,403
JEFFERSON @ FRANKLIN - E - FS,009,101,402
PEARL @ ROSS - S - NS,306,205,402
PEARL @ ROSS - S - NS,103,009,400
PEARL @ ROSS - S - NS,620,RED,399
SMU/MOCKINGBIRD STATION,BLUE,249,399
PEARL @ ROSS - S - NS,103,BLUE,397
PEARL @ ROSS - S - NS,239,230,397
SOUTHWEST MEDICAL DISTRICT/PARKLAND,ORANGE,GREEN,395
JEFFERSON @ POLK - E - NS,009,147,395
WESTMORELAND STATION,025,223,394
PEARL @ ROSS - S - NS,205,TRE,393
HARRY HINES @ BUTLER - S - NS,101,122,393
PEARL @ ROSS - S - NS,620,ORANGE,392
HARRY HINES @ BUTLER - S - NS,057,213,390
BLACKBURN @ COLE - E - NS,207,RED,390
PEARL @ ROSS - S - NS,103,224,390
PEARL @ ROSS - S - NS,237,TRE,389
STONEWALL @ BUTE - W - NS,214,GREEN,389
DOWNTOWN IRVING/HERITAGE CROSSING STATION,230,227,389
PEARL @ ROSS - S - NS,103,147,389
STONEWALL @ BUTE - W - NS,018,214,387
NORTHWEST @ TOWNGATE - E - FS,251,212,386
STONEWALL @ BUTE - W - NS,GREEN,214,386
BLACKBURN @ COLE - E - NS,237,BLUE,386
PEARL @ ROSS - S - NS,620,013,385
HARRY HINES @ BUTLER - S - NS,122,213,385
PEARL @ ROSS - S - NS,306,001,385
BACHMAN STATION,ORANGE,213,384
SHERMAN @ LINGCO - N - MB1,RED,202,383
BLACKBURN @ COLE - E - NS,RED,207,382
PEARL @ ROSS - S - NS,306,230,382
PEARL @ ROSS - S - NS,425,308,381
PEARL @ ROSS - S - NS,103,001,379
SHERMAN @ LINGCO - N - MB1,RED,250,379
SHERMAN @ LINGCO - N - MB1,RED,200,379
BLACKBURN @ COLE - E - NS,237,425,379
PEARL @ ROSS - S - NS,103,425,378
WESTMORELAND STATION,223,108,378
FOREST @ KIRBY - W - FS,BLUE,245,378
PEARL @ ROSS - S - NS,620,BLUE,378
JEFFERSON @ POLK - E - NS,009,RED,378
ELSIE FAYE HEGGINS @ LAGOW - W - NS,GREEN,216,376
GASTON @ LIBERTY - N - NS,023,009,373
COCKRELL HILL TL,025,226,372
PEARL @ ROSS - S - NS,620,GREEN,371
MALCOLM X @ MLK - S - NS,001,104,371
GASTON @ LIBERTY - N - NS,023,018,371
PEARL @ MCKINNEY - S - FS,425,308,371
SOUTHWEST MEDICAL DISTRICT/PARKLAND,GREEN,101,370
ILLINOIS @ VALERIA - W - FS,025,223,369
PEARL @ ROSS - S - NS,214,306,369
PARKER ROAD STATION,RED,247,368
PEARL @ ROSS - S - NS,425,TRE,365
PEARL @ ROSS - S - NS,205,620,364
SOUTHWEST MEDICAL DISTRICT/PARKLAND,GREEN,213,364
WESTMORELAND STATION,223,057,362
PEARL @ ROSS - S - NS,230,306,362
PEARL @ ROSS - S - NS,103,620,361
SMU/MOCKINGBIRD STATION,RED,ORANGE,360
SOUTHWEST MEDICAL DISTRICT/PARKLAND,057,ORANGE,358
WESTMORELAND STATION,057,223,358
PEARL @ ROSS - S - NS,103,TRE,357
PEARL @ ROSS - S - NS,620,239,357
SMU/MOCKINGBIRD STATION,BLUE,RED,357
WESTMORELAND STATION,221,104,356
NORTHWEST @ TOWNGATE - E - FS,251,203,356
8TH & CORINTH STATION,215,RED,356
WESTMORELAND STATION,223,025,354
8TH & CORINTH STATION,217,215,354
SMU/MOCKINGBIRD STATION,ORANGE,RED,353
DOWNTOWN PLANO STATION,236,RED,353
PEARL @ ROSS - S - NS,001,306,352
PEARL @ MCKINNEY - S - FS,239,425,352
BONNIE VIEW @ PERSIMMON - S - NS,141,228,351
WESTMORELAND STATION,221,057,350
PEARL @ ROSS - S - NS,620,103,350
PEARL @ ROSS - S - NS,103,249,350
PEARL @ ROSS - S - NS,620,230,350
GASTON @ LIBERTY - N - NS,023,001,349
SPRING VALLEY @ PRESTON VALLEY - E - MB2,200,237,348
WESTMORELAND STATION,223,104,347
HARRY HINES @ BUTLER - S - NS,101,213,346
PEARL @ ROSS - S - NS,103,128,346
PARKER ROAD STATION,247,236,345
PEARL @ ROSS - S - NS,306,425,343
WESTMORELAND STATION,221,025,343
SMU/MOCKINGBIRD STATION,ORANGE,BLUE,343
WESTMORELAND STATION,025,RED,342
HARRY HINES @ BUTLER - S - NS,057,122,340
SPRING VALLEY @ PRESTON VALLEY - E - MB2,202,200,340
SMU/MOCKINGBIRD STATION,BLUE,440,336
PEARL @ MCKINNEY - S - FS,239,001,336
PEARL @ ROSS - S - NS,620,003,336
INWOOD/LOVE FIELD STATION,GREEN,005,336
SOUTHWEST MEDICAL DISTRICT/PARKLAND,ORANGE,122,336
FOREST @ KIRBY - W - FS,BLUE,247,336
GASTON @ LIBERTY - N - NS,018,023,335
GASTON @ LIBERTY - N - NS,001,GREEN,333
JEFFERSON @ POLK - E - NS,009,219,332
NORTHWEST @ TOWNGATE - E - FS,212,251,332
NORTHWEST @ TOWNGATE - E - FS,203,016,332
SOUTHWEST MEDICAL DISTRICT/PARKLAND,ORANGE,023,332
PEARL @ ROSS - S - NS,249,TRE,330
PEARL @ ROSS - S - NS,016,421,329
PEARL @ ROSS - S - NS,205,306,327
INWOOD/LOVE FIELD STATION,GREEN,103,325
PEARL @ ROSS - S - NS,306,620,325
PEARL @ ROSS - S - NS,224,TRE,323
SOUTHWEST MEDICAL DISTRICT/PARKLAND,230,023,323
PEARL @ ROSS - S - NS,620,016,322
FOREST @ KIRBY - W - FS,247,BLUE,321
PARKER ROAD STATION,247,234,321
SMU/MOCKINGBIRD STATION,003,BLUE,321
BLACKBURN @ COLE - E - NS,207,237,317
PEARL @ MCKINNEY - S - FS,425,306,317
MALCOLM X @ MLK - S - NS,GREEN,023,316
NORTHWEST @ TOWNGATE - E - FS,251,016,316
BACHMAN STATION,GREEN,213,314
PEARL @ ROSS - S - NS,239,306,314
PARKER ROAD STATION,236,234,314
PEARL @ ROSS - S - NS,425,239,314
BLACKBURN @ COLE - E - NS,RED,237,312
STONEWALL @ BUTE - W - NS,023,GREEN,310
PEARL @ MCKINNEY - S - FS,001,239,309
ILLINOIS @ VALERIA - W - FS,223,025,309
BLACKBURN @ COLE - E - NS,BLUE,237,308
PEARL @ ROSS - S - NS,620,009,308
GASTON @ LIBERTY - N - NS,018,GREEN,308
SOUTHWEST MEDICAL DISTRICT/PARKLAND,057,230,304
8TH & CORINTH STATION,217,BLUE,303
SOUTHWEST MEDICAL DISTRICT/PARKLAND,GREEN,023,302
PARKER ROAD STATION,236,RED,302
